,ra,dec,parallax,parallax_error,pmra,pmdec,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag
3403,250.362888625391,36.5013744011148,0.0522048757106539,0.034555487,-2.9981383724562,-2.6175649724921,16.086626,16.472525,15.507475
3404,250.437551069575,36.3982141132279,0.104723143167306,0.1974997,-2.93480653454622,-3.19468435317814,18.893404,19.105625,18.402035
3405,250.385669501793,36.4041436196639,0.14170296289334,0.39235702,-3.75795323194338,-4.04664739809958,19.76781,19.644733,18.854572
3406,250.404830244176,36.3984892815397,0.17510032707252,0.50920326,-3.27113005303014,-3.15591745606329,20.148497,,
3407,250.500336071241,36.4569466026928,0.158613024304114,0.26314387,-3.52369129252553,-1.75405020528002,19.385284,19.617863,18.966597
3408,250.484908486665,36.4222373791366,0.148570337027862,0.5160663,-3.97273501740313,-3.58371399838986,20.066164,20.598387,19.63609
3409,250.432905252117,36.3974603298968,0.12644315478527,0.11862528,-2.50161762616113,-2.10102452205778,18.212303,18.371326,17.710882
3410,250.499521537437,36.4499408267296,0.116092754737755,0.3348268,-4.04799571586682,-1.77318964488217,18.970606,18.950903,18.345602
3411,250.399646263335,36.5205552134481,0.27472883731604,0.49445528,-5.72742621237147,-8.76200188220469,19.324314,19.240482,18.483576
3412,250.345208085426,36.4467466363363,0.27030683486599,0.14296786,-2.58617870052144,-1.92864724242943,18.344585,18.243608,17.600182
3413,250.492123667281,36.4315241369521,0.192007848001124,0.10565123,-3.06659241392914,-2.56083908085449,18.164885,18.297815,17.637192
3414,250.344343229387,36.4504013706838,0.282722404041293,0.31781104,-2.2788517093536,-1.03917176608025,19.32991,,
3415,250.432172117031,36.3973355653477,0.204979206684446,0.27894387,-3.22656153646505,-3.05585702903075,19.331598,19.30367,18.553658
3416,250.500435690583,36.4558745308433,0.238422559109249,0.13637874,-2.82500769235756,-2.04889620623205,18.186245,18.007866,17.356356
3417,250.500006639675,36.4521101825161,0.299453968372482,0.26863092,-1.78217577381145,-3.29674854060566,19.330898,,
3418,250.375336245631,36.5109173429664,0.0541528491165734,0.04515815,-3.33429027934267,-2.58249729896514,16.351948,16.653988,15.71172
3419,250.343351638115,36.4597369533248,0.0911327478759933,0.048903167,-2.79856330888339,-2.53220502363215,16.725546,17.072268,16.179522
3420,250.402576050505,36.5213153974992,0.191736369417251,0.23729803,-3.12669523721685,-2.30725589346393,19.23187,,
3421,250.384733249376,36.51572965101,0.160389370162685,0.076003194,-3.20670299278629,-2.88689155501588,17.284788,17.566774,16.662224
3422,250.493657803948,36.4338958833427,0.148250252668421,0.3786081,-3.35378920752254,-2.75659456293304,19.00347,,
3423,250.500693852446,36.4595588302537,0.141421610052603,0.13366877,-3.25397418953214,-2.4364881698217,18.4721,18.754562,18.067701
3424,250.477253271133,36.505118525141,0.117162603956236,0.06102127,-3.18186197113412,-2.69570354768764,17.179842,17.498327,16.58285
3425,250.390563096885,36.4019353655262,0.147628044371965,0.1797303,-3.37192653404649,-2.28710309341054,18.823853,19.064075,18.328321
3426,250.475671303116,36.4136465766389,0.0543593907229473,0.49479985,-3.29141333057228,-2.21672237225827,19.968086,20.24147,19.46138
3427,250.403436802801,36.3984356110465,0.0807030222574626,0.13104706,-3.3489184882117,-2.34667440261106,18.419567,18.633217,18.20481
3428,250.350375848499,36.4863860420259,0.197178943764582,0.06881335,-3.19876239344712,-2.62667646904088,17.322708,17.66268,16.773281
3429,250.459562578095,36.4043047403684,0.099998456003988,0.015060976,-3.22141021979663,-2.8412000709033,11.533216,12.349733,10.6571665
3430,250.362033347983,36.5011389532386,0.134629157553599,0.22195216,-3.1526578857618,-1.90475452018683,19.004179,,
3431,250.495971906367,36.4819357069828,0.288967037693897,0.14955582,-3.10845886144831,-2.02574511697892,18.543179,18.749365,18.009628
3432,250.483005534846,36.4198381054142,0.0681128894719973,0.074899815,-2.91324765998296,-2.59284219786739,17.267239,17.552557,16.66292
3433,250.461520864683,36.4051063886638,0.112076493861605,0.36472285,-2.82785532919388,-2.44321342876245,19.235691,19.17982,18.198706
3434,250.401533776216,36.3987219127129,0.0991243114747862,0.12478725,-2.99923911985978,-2.45300158766226,18.216421,18.243845,17.605692
3435,250.35778678017,36.4968893016357,0.287164706931114,0.27211475,-3.20544667055293,-2.15256160572513,19.201542,19.106142,16.659512
3436,250.355778965678,36.4945338711366,0.262988922588674,0.23981959,-3.09759062626244,-1.94482691728358,19.115631,19.437037,18.821533
3437,250.455687955749,36.5174021359756,0.0916440371576568,1.0021985,-1.83738638805038,-3.8831351319565,20.512148,20.199833,20.742384
3438,250.495241033567,36.4363748356828,0.108629657718197,0.04544107,-3.34403721002436,-2.58548024935809,16.638428,16.930511,16.017817
3439,250.470885431966,36.4101428515935,0.0722492126339524,0.044406917,-3.47947050102777,-2.590043004745,16.435379,16.744286,15.823634
3440,250.500785832181,36.455792501214,0.228418307782828,0.157095,-3.07863283745351,-2.23970752285889,18.570726,,
3441,250.343210622917,36.4552656217415,0.278239606750179,0.18570127,-3.188572114923,-2.74364857078741,18.825743,19.146639,18.486975
3442,250.374362796402,36.5107131271435,0.0717052494885318,0.43922246,-2.5282281264171,-2.64089823417078,19.929108,20.402777,19.198126
3443,250.439516784514,36.5220178931049,0.0801737169484689,0.2163639,-3.31419684005658,-2.84457423607667,19.079758,19.21689,18.526205
3444,250.456243736829,36.51732920604,0.0906938982277869,0.8053276,-3.88213296288365,-3.04862713788074,20.373526,20.420956,19.34652
3445,250.385471927537,36.5164198086235,0.205419983560513,0.043230273,-3.22105980477571,-2.94793985975587,16.369894,16.314137,16.495956
3446,250.406669050596,36.5224183319367,0.143191835601735,1.6675776,-8.14931888790006,-3.69231466231565,20.617727,19.988161,20.007862
3447,250.40450477678,36.522053081465,0.0996809172556152,0.10443451,-3.51157269871304,-2.58748757812902,17.893654,18.02743,17.303572
3448,250.348392916489,36.4833801489276,0.0574424459861145,0.27335754,-4.95762426130044,-0.816089675580802,19.064022,19.257572,18.491184
3449,250.441208839537,36.398254002529,0.066542505802798,0.1391427,-3.4641590514219,-2.63081149799377,18.299294,18.505642,17.800076
3450,250.493975782511,36.4864941008899,0.163462886538257,0.13612394,-3.36817557939764,-2.61962043138754,18.43969,18.624489,17.926441
3451,250.346061474198,36.477964986034,0.159055472186478,0.9953048,-2.79131716068434,0.0285850736657233,20.05557,19.459614,18.792418
3452,250.443149231759,36.5213446766805,0.112969130642469,0.123569906,-3.31495293944557,-2.7618039793672,18.112032,18.3402,17.674324
3453,250.437292741011,36.5224675650027,0.0763434902421539,0.022900805,-2.77291885631769,-2.43935855374494,15.217122,15.637623,14.619154
3454,250.488861402661,36.4258827055518,0.237701214663482,0.24406202,-3.51175292499475,-1.9114263902678,19.238943,19.547928,18.831966
3455,250.367196820188,36.5060002176035,0.0579008494471572,0.026760632,-3.17405334016484,-2.50961021514231,15.555332,15.948102,14.949269
3456,250.343333493429,36.4674819874397,0.110948360571073,0.14939646,-3.1228836616105,-3.7066689627219,18.168818,18.1298,17.453255
3457,250.467195866007,36.5123339544761,0.219230036348554,0.13254738,-3.44526493986722,-2.90154359645622,18.408413,18.447199,17.858854
3458,250.374846362628,36.4088024673983,0.159075375534301,0.6778305,-2.73247822600347,-2.69267327077528,20.137333,20.844398,19.874958
3459,250.349582450894,36.4859211271313,0.202236189141229,0.060650416,-3.09509636923823,-2.59339147918106,17.093903,17.422688,16.521877
3460,250.352634507297,36.429186726689,0.110214615472875,0.011400855,-2.97181585648108,-2.78537406693786,12.3758135,13.010349,11.606587
3461,250.415740393067,36.5235438593899,0.298798775161698,0.11588626,-3.29564373049639,-2.64238570949555,18.259195,18.2742,17.596674
3462,250.402097139453,36.5217147697148,0.101675622496825,0.15596281,-2.75295657161819,-2.61636643624225,18.32829,18.469706,17.803026
3463,250.362036199563,36.5017160637805,0.0738767984108885,0.1449492,-2.85171255984169,-2.3724447431148,18.618061,18.494928,17.764204
3464,250.489002652482,36.4940936777096,0.135190382041873,0.07093264,-3.09927297184649,-2.69010415727033,17.531755,17.67387,16.803259
3465,250.456077624223,36.4024363878766,0.156824646061119,0.1732668,-3.86643108724855,-2.8275237563635,18.675644,18.885443,18.290941
3466,250.368697082282,36.4127813344028,0.0877506519809169,0.20383486,-3.29348494413683,-2.92572894445275,19.048271,19.202461,18.498846
3467,250.452096211653,36.519024723115,0.101533947185903,0.03607035,-3.20539300838592,-2.44575790732743,16.141289,16.520378,15.567917
3468,250.343402113247,36.4686220756141,0.086543578179707,0.022506919,-2.89799297887559,-2.78648634967738,14.942603,15.365296,14.326886
3469,250.35385145647,36.4926658578181,0.293106723540762,0.3415494,-1.65746750272769,-1.47545924259104,19.136522,,
3470,250.473792379924,36.5083463818102,0.132878069967667,1.0436187,-3.33531694981373,-0.364147397839074,20.422232,,
3471,250.500267431069,36.4493377852063,0.0541857527454581,0.15377444,-2.96468211155387,-2.41854792413629,18.08484,,
3472,250.406687031137,36.3973508057031,0.211921580203081,0.14814885,-3.20525330219357,-2.49372051192508,18.491745,18.632303,18.04023
3473,250.403013615344,36.3980009419781,0.286586843537403,0.12490044,-2.54309074400014,-3.11075258410139,18.259008,18.15309,17.549314
3474,250.351115387727,36.4312570918732,0.140547494979675,0.34312528,-2.72019980639058,-2.36891121752844,19.541624,19.877956,19.064856
3475,250.392398817158,36.5192609377115,0.227144193528458,0.8450743,-2.45586025288425,-3.33676523272422,20.217628,19.807049,18.952818
3476,250.439320649612,36.3976729526431,0.0649243820719432,0.4781187,-3.25162853419224,-3.01657717759143,19.86119,20.474855,19.549677
3477,250.39063493012,36.5187100885448,0.133295068480192,0.05336405,-3.01553923696756,-2.17112265134048,16.327333,16.655756,15.692076
3478,250.355843893832,36.4954201597964,0.0930622305461909,0.6775029,-3.95343740219997,-8.02251600793014,19.891302,19.769638,19.07405
3479,250.457454176085,36.5172046505854,0.296230902838564,0.12781729,-2.63028961514929,-2.81095219142121,18.387964,18.635303,17.971107
3480,250.343785407471,36.4713728010825,0.164767666009627,0.23864771,-2.77728794357054,-3.00631910284087,19.112667,19.364992,18.766783
3481,250.50080356605,36.4515868521083,0.199536391547519,0.8879542,-4.15900626722643,-3.01741232768646,20.524887,,
3482,250.501498661419,36.4605926616708,0.288139732973935,0.19758116,-3.09174334780694,-2.56522196275392,18.873491,19.122625,18.44645
3483,250.3470072019,36.4812551620649,0.279580701656212,0.31384838,-3.10341062313204,-2.01345917869218,19.479113,19.90672,19.195854
3484,250.391266502764,36.5189911700684,0.191205744874467,0.23641957,-2.82823509507363,-1.95823272996896,17.647974,17.735378,16.901413
3485,250.484397177527,36.4203626789619,0.110476607167676,0.18512677,-2.85042771946744,-0.765352422272856,18.659342,18.563778,17.815004
3486,250.427982938519,36.523787920873,0.137485827340708,0.4385539,-3.60242534154199,-2.96278206528631,19.941856,20.09178,19.533398
