ra,dec,parallax,parallax_error,pmra,pmdec,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag
70.97923113,24.12084143,15.14168502,0.03213517,26.87380178,-86.4263348,15.154578,16.668867,13.957359
60.95342098,18.61420642,15.14573254,0.8792928,6.843095353,-12.71789034,19.08823,20.228558,17.225163
70.93195642,17.75556473,15.14998111,0.0211855,2.073606551,-74.05823847,11.77006,12.618905,10.864828
67.51755049,17.79463907,15.16078173,0.042068906,10.72144204,-35.58694331,12.652197,13.67183,11.645189
65.38791063,10.32763366,15.16211786,0.03952155,214.8124739,112.4530855,15.339357,17.018736,14.088135
67.24282416,10.74761131,15.17071527,0.08150497,18.00037165,75.1990706,16.913305,16.981401,16.842861
57.81033238,14.6697021,15.17543379,0.03564364,243.3975455,-145.884592,15.254986,16.863983,14.025666
63.80594383,19.39859378,15.19382948,0.14019321,-13.19181842,-29.47248049,17.678175,20.110424,16.283676
75.17709604,21.78072823,15.19463737,0.014966155,-33.78579448,-114.1947791,13.442383,14.603639,12.37185
74.4437871,16.47222273,15.20955494,0.03475711,57.75061278,-20.17639648,14.42339,16.02633,13.193911
68.88895524,13.42756056,15.21059225,0.02426269,60.92832005,-14.48960089,14.530704,16.022417,13.342741
59.28843355,16.19737206,15.21179962,0.024739418,134.5291206,-112.1020896,14.537828,15.964931,13.365964
71.56400255,26.13116699,15.21398252,0.020353872,-40.1157946,-48.8327398,13.872397,15.187077,12.7401905
65.36123753,9.78909704,15.21939268,0.094485186,19.84239812,-37.58100643,17.226814,19.41671,15.870304
64.26278004,12.12803387,15.2249027,0.021174299,-17.05849832,11.40024945,13.737927,14.875529,12.674078
67.24508697,14.58776283,15.24797766,0.023078183,-87.85229209,-67.61390693,14.021175,15.148268,12.747269
75.92910659,17.15362995,15.25298964,0.017561689,54.26985673,-23.12058697,12.695036,13.772172,11.661863
66.08359231,14.87345482,15.25926803,0.06108948,179.6887211,-20.5970863,16.462067,18.209694,15.206671
75.31693098,16.14459113,15.26485229,0.04469399,56.58750356,-21.14625664,15.798314,17.691675,14.494399
69.04149316,14.78630431,15.27998201,0.29869872,-50.96416639,-103.5859667,19.018051,21.555641,17.50434
70.54022431,14.35695661,15.28215531,0.24483924,-136.3325331,-117.130771,18.87938,19.440886,18.215672
61.72196212,24.96588157,15.29189903,0.020238267,58.40129528,-9.007728702,13.460632,14.691754,12.361712
74.36220632,16.4267034,15.29545867,0.019748533,-100.9709736,-72.62858812,10.939151,11.5392475,10.2014065
70.04287737,12.1726112,15.30142147,0.02263319,35.08845173,123.7233725,14.383915,15.625485,13.28105
72.78082704,16.37974044,15.3025744,0.056123316,26.89703176,-45.54300131,14.857574,16.270063,13.441902
62.64103643,20.86079154,15.30320404,0.01713576,88.60688338,-27.49875629,12.362413,13.363744,11.36779
74.54814246,15.3710396,15.30543919,2.1086442,4.042320209,4.283908336,20.65544,21.253609,19.276306
64.58468223,14.98293329,15.30706091,0.03269001,22.16924859,-49.64705238,15.160064,16.667711,13.965678
73.02791088,22.66949602,15.31258903,0.020300953,-20.43631317,-84.02059741,13.876781,15.158621,12.758716
70.07293477,12.13508758,15.31373578,0.2785972,40.64072603,-13.46532171,15.305062,17.017195,13.799149
67.24446678,14.58877367,15.32900065,0.015874406,-86.17385734,-73.2886628,9.700565,10.156567,9.083036
72.78047998,16.38003553,15.33468169,0.08070561,22.88353728,-45.65162486,15.162342,,
68.99025653,20.25115761,15.3376358,0.026928235,-59.63146047,-39.82148254,14.426004,15.796655,13.274956
72.19812645,9.674298188,15.34069697,0.014339561,23.77592921,-44.56700337,9.522959,9.944824,8.938117
61.4913436,10.96102496,15.34116908,0.16301876,62.8591503,-1.514379168,17.829847,20.264053,16.413378
76.48668594,19.27071368,15.3414476,0.06616539,19.13821619,44.84186215,16.511036,18.367617,15.226097
66.19478862,21.44235286,15.34325907,0.57948655,68.45788836,-22.96470291,20.111214,21.25165,18.534376
66.46863266,16.8873814,15.34692224,0.11141498,-16.02254787,3.141716608,17.462467,17.673717,17.131716
76.07092724,19.40232971,15.35316245,0.23236406,33.25371419,-150.7893913,15.949692,17.320011,14.079965
74.73430092,17.35497197,15.35726059,0.04714705,232.7357707,-23.89755286,15.729512,17.312052,14.513829
63.17440596,13.61870435,15.36441105,0.041723013,6.426083073,-128.9231995,14.698925,16.276302,13.47955
70.75924854,15.55472365,15.37350725,0.12306692,-92.95969278,-64.94281666,17.708181,20.018389,16.319082
77.3160652,19.57237463,15.37566431,0.018052863,52.82600286,-28.21473195,13.413082,14.698884,12.29257
61.42239411,24.47152353,15.38082329,0.017404059,40.18485791,-38.61533483,9.7908945,10.214072,9.199411
76.12856013,20.64256961,15.38143494,0.019967014,-13.38299198,4.194019918,13.057506,14.144422,12.020101
76.62634313,16.95389623,15.38930299,0.016377259,-9.72864487,-143.2664056,10.551797,11.1219425,9.840207
66.7529757,19.11518494,15.3915323,0.017619163,98.7581321,-130.3799593,9.462355,9.857518,8.897509
75.9242846,18.3220281,15.39355392,0.021002956,57.7313877,-15.10248634,10.408433,10.921919,9.741432
62.42579477,18.66801406,15.39700827,0.044660587,-40.94382301,-126.6024666,13.842746,15.334218,12.650199
72.78207592,16.38888994,15.40304871,0.025059607,26.86901905,-46.00872108,14.396101,15.858032,13.215928
77.17165637,14.7443009,15.41602931,0.058471005,52.64075056,-16.84308925,16.281662,18.196848,14.973222
73.14835782,23.54073249,15.41603573,0.02431792,48.2127312,-71.94641953,14.682099,16.009071,13.547758
66.75302615,19.11706732,15.41830571,0.025125105,93.29321078,-130.5658992,7.7753973,8.029683,7.3555665
69.29838104,12.71316693,15.42236274,0.04848504,168.4849975,-85.51815174,16.165,18.062157,14.864553
64.75123966,21.36932148,15.42256189,0.03997948,-34.73964457,-24.49022325,15.663113,17.28789,14.4356365
71.50755199,11.70555063,15.42290889,0.089148246,66.15789607,-8.127767187,5.3164186,5.403276,5.157512
66.5319267,20.38335631,15.42532358,0.027314227,-25.64460316,-9.119376449,14.794623,16.263266,13.610844
74.14932552,23.29523995,15.42722343,0.023486268,77.49357556,-104.2001348,7.4021254,7.643337,6.9986734
63.58635402,8.183332811,15.43787992,0.017687278,-65.69861079,12.89196802,12.392045,13.302001,11.455571
68.18278057,21.40132304,15.45378118,0.04424039,219.3452092,-29.55400963,15.702761,17.365953,14.463335
69.22951988,15.26105288,15.46006023,0.019289155,46.63738705,-28.81274774,7.209437,7.483357,6.767685
67.81622428,21.76242765,15.46452463,0.025016405,33.77818698,-120.9811053,13.308602,14.766452,12.12689
63.8399965,22.11563366,15.46613047,0.035381105,-57.2207192,-19.81951643,15.441964,17.249088,14.166748
70.22257927,14.01996284,15.47354221,0.032414,-17.61407065,-130.7659633,14.951155,16.564358,13.727969
60.85997984,10.95956182,15.48036787,0.028508732,-5.122712724,-4.967270756,14.588053,16.048822,13.405704
68.39801252,11.99275915,15.48813775,0.022093944,73.99806735,-14.77545128,14.329639,15.805527,13.1433115
67.0822344,21.89091572,15.48908388,0.11295061,-63.68293409,-198.7270819,16.089771,18.021605,14.791144
65.28441376,23.61783042,15.49494317,0.107627794,56.57898104,-178.6680436,17.417719,19.792528,16.03425
71.75402089,23.26241545,15.50362806,0.04669909,96.70426287,-45.87489548,15.779532,17.756634,14.471144
72.64782309,15.96697066,15.50403376,0.1672747,-23.96991295,-127.6605593,18.182344,20.815014,16.732307
69.24665167,15.23937847,15.51082447,0.027530758,46.76512064,-29.57802462,14.66456,16.170427,13.470856
66.27312005,22.30326929,15.5190711,0.13139626,-31.76773734,-74.24528785,16.76336,,
64.22191157,26.40502506,15.54734838,0.03482487,-21.80691395,-145.2192921,15.338889,15.684074,14.69728
59.39574028,19.26337275,15.55552572,0.1583585,-19.99126992,-94.09020534,18.222576,18.456469,17.716917
66.2821472,25.74931957,15.56266562,0.020692617,57.11066097,-23.99099634,14.088305,15.349588,12.97878
72.95943096,19.34331868,15.58001226,0.028906913,38.06838351,-48.43753058,15.121074,16.783962,13.87301
